evidence_id,source_name,organization_type,primary_geography,signal_strength_for_sw,source_type,source_locator,base_source_url,page_title,excerpt,entity,value_chain_role_A4,signal_type_A3,claim_tags_A5,mapped_market_A1_1,mapped_market_A1_2,mapped_market_A1_3,mapped_tech_A2_1,mapped_tech_A2_2,mapped_tech_A2_3,conditions_of_use_A6_notes,date_published_or_observed,captured_date,ingestion_method,mapping_confidence,mapped_by,mapped_on,analyst_notes
EV-7CD146DF,AF&PA – Industry Resources,Trade Assoc.,US,High,web,https://www.afandpa.org/statistics-resources/resources,https://www.afandpa.org/statistics-resources/resources,Industry Resources | AF&PA,The Voluntary Standard is an industry-supported set of test protocols to evaluate the repulpability and recyclability of coated or treated corrugated board and its equivalents (OCC-e). | Investing in and improving paper recycling has been an industry priority for decades. Download AF&PA's handout explaining our efforts to capture even more paper from the waste stream for recycling. | The…,AF&PA – Industry Resources,Certification / Testing Lab,Pilot / Trial / Customer validation,repulpable,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)","Fiber recovery compatibility (repulpability, screenability, stickies control)",,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-D808DB02,AF&PA – Industry Resources,Trade Assoc.,US,High,web,https://www.afandpa.org/statistics-resources/handout-decades-commitment-improve-paper-recycling,https://www.afandpa.org/statistics-resources/resources,Handout - Decades of Commitment to Improve Paper Recycling,[From AF&PA – Industry Resources listing] Handout - Decades of Commitment to Improve Paper Recycling,AF&PA – Industry Resources,Certification / Testing Lab,Pilot / Trial / Customer validation,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-8839C32E,AF&PA – Industry Resources,Trade Assoc.,US,High,web,https://www.afandpa.org/statistics-resources/where-recycled-paper-goes-graph,https://www.afandpa.org/statistics-resources/resources,Where Recycled Paper Goes Graph,[From AF&PA – Industry Resources listing] Where Recycled Paper Goes Graph,AF&PA – Industry Resources,Certification / Testing Lab,Pilot / Trial / Customer validation,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-8A8166A5,APR Design® Guide Overview,Trade Assoc. / DfR Authority,US / North America,Medium,web,https://plasticsrecycling.org/apr-design-hub/apr-design-guide-overview/,https://plasticsrecycling.org/apr-design-hub/apr-design-guide-overview/,APR Design Guide Overview - Association of Plastic Recyclers (APR),"The APR Design® Guide offers extensive design guidance and testing protocols, enabling you to assess every component of a package design based on widely accepted industry standards.",APR Design® Guide Overview,Waste/Recycling Operator / MRF,Pilot / Trial / Customer validation,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-DC4A26C3,APR Design® Guide Overview,Trade Assoc. / DfR Authority,US / North America,Medium,web,https://plasticsrecycling.org/apr-design-hub/recyclability-readiness-guide/,https://plasticsrecycling.org/apr-design-hub/apr-design-guide-overview/,Get the Recyclability Readiness Guide,[From APR Design® Guide Overview listing] Get the Recyclability Readiness Guide,APR Design® Guide Overview,Certification / Testing Lab,Recyclability / repulpability validation,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-89DB0DBD,How2Recycle (GreenBlue),Standards / Labeling Scheme,US & Canada,High,web,https://how2recycle.info/,https://how2recycle.info/,Home Page - How2Recycle,Recycling can be challenging. Our label is based on nationally harmonized data and provides consistent and transparent on-package disposal instructions to Americans and Canadians. | 1. Keep recycling loose in the bin. 2. Give food / drink containers a quick rinse. 3. Screw tops back onto bottles. | Your insights are essential to our program.,How2Recycle (GreenBlue),Certification / Testing Lab,Recyclability / repulpability validation,formability/draw depth,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-5EF97A5A,How2Recycle (GreenBlue),Standards / Labeling Scheme,US & Canada,High,web,https://how2recycle.info/about-the-how2recycle-label/,https://how2recycle.info/,More About Recycling,[From How2Recycle (GreenBlue) listing] More About Recycling,How2Recycle (GreenBlue),Certification / Testing Lab,Recyclability / repulpability validation,formability/draw depth,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-DBDA60A9,Sustainable Packaging Coalition (SPC / GreenBlue),NGO / Industry Collaborative,US / North America,High,web,https://sustainablepackaging.org/,https://sustainablepackaging.org/,Home - Sustainable Packaging Coalition,"Explore upcoming and past events from the SPC | Explore our pillars and what they stand for | Keep up with SPC news, including our Policy Roundup | Explore our library of resources available for download | The Sustainable Packaging Coalition carries out its mission and operates through its dedicated members. We bring together businesses, educational institutions, organizations, and government…",Sustainable Packaging Coalition (SPC / GreenBlue),Certification / Testing Lab,Material performance claim,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-A00DE42F,Sustainable Packaging Coalition (SPC / GreenBlue),NGO / Industry Collaborative,US / North America,High,web,https://sustainablepackaging.org/2026/01/23/consumer-education-collaborative/,https://sustainablepackaging.org/,"Consumer Education Collaborative In our new Collaborative, we’ll educate consumers around recycling and more key sustainable packaging topics.","[From Sustainable Packaging Coalition (SPC / GreenBlue) listing] Consumer Education Collaborative In our new Collaborative, we’ll educate consumers around recycling and more key sustainable packaging topics.",Sustainable Packaging Coalition (SPC / GreenBlue),Certification / Testing Lab,Material performance claim,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-F4B46EA5,U.S. EPA – Sustainable Materials Management,Regulator,US,Medium,web,https://www.epa.gov/smm,https://www.epa.gov/smm,Sustainable Materials Management | US EPA,"National Strategy to Prevent Plastic Pollution On November 21, EPA published the ""National Strategy to Prevent Plastic Pollution,"" which focuses on actions to eliminate the release of plastic pollution into the environment. | On November 21, EPA published the ""National Strategy to Prevent Plastic Pollution,"" which focuses on actions to eliminate the release of plastic pollution into the…",U.S. EPA – Sustainable Materials Management,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2015-08-10,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-3A62D48A,U.S. EPA – Sustainable Materials Management,Regulator,US,Medium,web,https://www.epa.gov/circulareconomy/national-strategy-prevent-plastic-pollution,https://www.epa.gov/smm,"""National Strategy to Prevent Plastic Pollution,""","[From U.S. EPA – Sustainable Materials Management listing] ""National Strategy to Prevent Plastic Pollution,""",U.S. EPA – Sustainable Materials Management,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2015-08-10,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-899FF911,U.S. EPA – Sustainable Materials Management,Regulator,US,Medium,web,https://www.epa.gov/circulareconomy/america-recycles-day,https://www.epa.gov/smm,Read about America Recycles Day.,[From U.S. EPA – Sustainable Materials Management listing] Read about America Recycles Day.,U.S. EPA – Sustainable Materials Management,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2015-08-10,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-11ED248F,U.S. EPA – Sustainable Materials Management,Regulator,US,Medium,web,https://www.epa.gov/circulareconomy/national-strategy-reducing-food-loss-and-waste-and-recycling-organics,https://www.epa.gov/smm,“National Strategy for Reducing Food Loss and Waste and Recycling Organics.”,[From U.S. EPA – Sustainable Materials Management listing] “National Strategy for Reducing Food Loss and Waste and Recycling Organics.”,U.S. EPA – Sustainable Materials Management,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2015-08-10,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-14AC50D2,FTC – Green Guides,Regulator,US,High,web,https://www.ftc.gov/legal-library/browse/rules/green-guides,https://www.ftc.gov/legal-library/browse/rules/green-guides,Green Guides,The Green Guides were issued to help marketers ensure that the claims they are making are true and substantiated. The guidance they provide includes: | general principles that apply to all environmental marketing claims; | how consumers are likely to interpret particular claims and how marketers can substantiate these claims; and | how marketers can qualify their claims to avoid deceiving…,FTC – Green Guides,Regulatory / Standards Body,Patent / IP,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2013-11-08,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-38597C75,Oregon DEQ – Recycling Modernization Act / Packaging EPR,Regulator,US (Oregon),High,web,https://www.oregon.gov/deq/recycling/Pages/Modernizing-Oregons-Recycling-System.aspx,https://www.oregon.gov/deq/recycling/Pages/Modernizing-Oregons-Recycling-System.aspx,Department of Environmental Quality : Plastic Pollution and Recycling Modernization Act : Recycling : State of Oregon,Your browser is out-of-date! It has known security flaws and may not display all features of this and other websites. Learn how,Oregon DEQ – Recycling Modernization Act / Packaging EPR,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-E36F528B,CalRecycle – SB 54 Packaging EPR,Regulator,US (California),High,web,https://calrecycle.ca.gov/packaging/packaging-epr/,https://calrecycle.ca.gov/packaging/packaging-epr/,SB 54: Plastic Pollution Prevention and Packaging Producer Responsibility Act,"SB 54 establishes a new extended producer responsibility (EPR) program to manage packaging and single-use plastic food service ware products across every sector of the economy. | EPR gives primary responsibility for managing products after their useful life to producers, who can design and market products to be more easily reused or recycled. | On May 1, 2026, the Office of Administrative Law…",CalRecycle – SB 54 Packaging EPR,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-53A3E4E0,CalRecycle – SB 54 Packaging EPR,Regulator,US (California),High,web,https://calrecycle.ca.gov/emailupdates/,https://calrecycle.ca.gov/packaging/packaging-epr/,See all CalRecycle lists and previous messages.,[From CalRecycle – SB 54 Packaging EPR listing] See all CalRecycle lists and previous messages.,CalRecycle – SB 54 Packaging EPR,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-7231F849,CalRecycle – SB 54 Packaging EPR,Regulator,US (California),High,web,https://calrecycle.ca.gov/packaging/packaging-epr/advisoryboard/,https://calrecycle.ca.gov/packaging/packaging-epr/,Explore Advisory Board,[From CalRecycle – SB 54 Packaging EPR listing] Explore Advisory Board,CalRecycle – SB 54 Packaging EPR,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-40E6117C,Colorado CDPHE – Producer Responsibility Program,Regulator,US (Colorado),High,web,https://cdphe.colorado.gov/hm/epr-program,https://cdphe.colorado.gov/hm/epr-program,Producer Responsibility Program | Colorado Department of Public Health and Environment,"In 2025, the Colorado Department of Public Health and Environment approved Circular Action Alliance’s program plan, marking a major step toward free, convenient recycling for every Colorado household. | Under our oversight, this industry-funded and industry-run program shifts the cost of recycling from residents and local governments to the companies that produce and sell packaging. Additionally,…",Colorado CDPHE – Producer Responsibility Program,Certification / Testing Lab,Partnership / Joint development,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-9D522E59,Colorado CDPHE – Producer Responsibility Program,Regulator,US (Colorado),High,web,https://cdphe.colorado.gov/hm/prab-members,https://cdphe.colorado.gov/hm/epr-program,Producer Responsibility Advisory Board,[From Colorado CDPHE – Producer Responsibility Program listing] Producer Responsibility Advisory Board,Colorado CDPHE – Producer Responsibility Program,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-CDBCF77F,Colorado CDPHE – Producer Responsibility Program,Regulator,US (Colorado),High,web,https://cdphe.colorado.gov/hm/epr-advisory-board,https://cdphe.colorado.gov/hm/epr-program,Board members meet monthly to discuss and inform program implementation,[From Colorado CDPHE – Producer Responsibility Program listing] Board members meet monthly to discuss and inform program implementation,Colorado CDPHE – Producer Responsibility Program,Regulatory / Standards Body,Regulatory milestone,formability/draw depth,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-F812AD2C,Maine DEP – EPR Stewardship Program for Packaging,Regulator,US (Maine),High,web,https://www.maine.gov/dep/waste/recycle/epr.html,https://www.maine.gov/dep/waste/recycle/epr.html,"Extended Producer Responsibility for Packaging, Waste Management, Maine Department of Environmental Protection","Stay Informed: Recent Changes and Progress in the Packaging Stewardship Program (March 17, 2026) | Status Update on Appendix A â The Packaging Material Types List (September 9, 2025) | DEP Initiates Second Comment Period for Updated Draft Packaging Material Types List (July 28, 2025) | The Department of Environmental Protection is Seeking Input on Stewardship Services (May 7, 2025) | DEP Opens…",Maine DEP – EPR Stewardship Program for Packaging,Waste/Recycling Operator / MRF,Patent / IP,formability/draw depth,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-D1D0D491,Minnesota PCA – Packaging EPR,Regulator,US (Minnesota),High,web,https://www.pca.state.mn.us/air-water-land-climate/extended-producer-responsibility-for-packaging,https://www.pca.state.mn.us/air-water-land-climate/extended-producer-responsibility-for-packaging,Extended producer responsibility for packaging,"In early 2024, Minnesota’s extended producer responsibility bill for packaging, food packaging, and paper products was signed into law. | The Packaging Waste and Cost Reduction Act (Minn. Stat. § 115A.144-115A.1463) requires producers — generally the brand owner, manufacturer, or importer — to appoint and join a 501(c)3 nonprofit organization called a producer responsibility organization, to…",Minnesota PCA – Packaging EPR,Brand Owner / CPG,Regulatory milestone,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-FBA47D6E,Minnesota PCA – Packaging EPR,Regulator,US (Minnesota),High,pdf,https://www.pca.state.mn.us/sites/default/files/w-ps1-05a.pdf,https://www.pca.state.mn.us/air-water-land-climate/extended-producer-responsibility-for-packaging,Packaging Waste and Cost Reduction Act (w-ps1-05a),[From Minnesota PCA – Packaging EPR listing] Packaging Waste and Cost Reduction Act (w-ps1-05a),Minnesota PCA – Packaging EPR,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-1DE3274D,Minnesota PCA – Packaging EPR,Regulator,US (Minnesota),High,pdf,https://www.pca.state.mn.us/sites/default/files/w-ps1-05b.pdf,https://www.pca.state.mn.us/air-water-land-climate/extended-producer-responsibility-for-packaging,Packaging Waste and Cost Reduction Act - impacted parties (w-ps1-05b),[From Minnesota PCA – Packaging EPR listing] Packaging Waste and Cost Reduction Act - impacted parties (w-ps1-05b),Minnesota PCA – Packaging EPR,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-542C6ED3,Minnesota PCA – Packaging EPR,Regulator,US (Minnesota),High,web,https://www.pca.state.mn.us/air-water-land-climate/packaging-extended-producer-responsibility-advisory-board,https://www.pca.state.mn.us/air-water-land-climate/extended-producer-responsibility-for-packaging,appoints an advisory board,[From Minnesota PCA – Packaging EPR listing] appoints an advisory board,Minnesota PCA – Packaging EPR,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
